t1,key1,t2,key2,reduce,time
5000,20,30000,16,1,22108
5000,20,30000,16,2,20115
5000,20,30000,16,3,20109
5000,20,30000,16,4,22113
5000,20,30000,16,5,22109
5000,20,30000,16,6,22101
5000,20,30000,16,7,22108
5000,20,30000,16,8,24113
5000,20,30000,16,9,24115
5000,20,30000,16,10,24114
5000,20,30000,16,11,26106
5000,20,30000,16,12,28117
5000,20,30000,16,13,28107
5000,20,30000,16,14,28105
5000,20,30000,16,15,30108
5000,20,30000,16,16,30104
5000,20,30000,16,17,28104
5000,20,30000,16,18,30173
5000,20,30000,16,19,28102
5000,20,30000,16,20,30110
5000,20,30000,16,21,30106
5000,20,30000,16,22,30110
5000,20,30000,16,23,32108
5000,20,30000,16,24,34106
5000,20,30000,16,25,32121
5000,20,30000,16,26,32113
5000,20,30000,16,27,32109
5000,20,30000,16,28,36111
5000,20,30000,16,29,34113
5000,20,30000,16,30,36107
5000,20,30000,16,31,34106
5000,20,30000,16,32,38103
5000,20,30000,16,33,38107
5000,20,30000,16,34,38116
5000,20,30000,16,35,38107
5000,20,30000,16,36,40160
5000,20,30000,16,37,40171
5000,20,30000,16,38,40164
5000,20,30000,16,39,42105
5000,20,30000,16,40,40116
5000,20,55000,14,1,26108
5000,20,55000,14,2,22106
5000,20,55000,14,3,22112
5000,20,55000,14,4,24104
5000,20,55000,14,5,22121
5000,20,55000,14,6,22107
5000,20,55000,14,7,24099
5000,20,55000,14,8,24109
5000,20,55000,14,9,24093
5000,20,55000,14,10,26097
5000,20,55000,14,11,26104
5000,20,55000,14,12,26162
5000,20,55000,14,13,28111
5000,20,55000,14,14,28113
5000,20,55000,14,15,28100
5000,20,55000,14,16,28108
5000,20,55000,14,17,30108
5000,20,55000,14,18,30103
5000,20,55000,14,19,30103
5000,20,55000,14,20,32110
5000,20,55000,14,21,32121
5000,20,55000,14,22,32116
5000,20,55000,14,23,32110
5000,20,55000,14,24,34102
5000,20,55000,14,25,34112
5000,20,55000,14,26,34119
5000,20,55000,14,27,36110
5000,20,55000,14,28,34107
5000,20,55000,14,29,36110
5000,20,55000,14,30,36102
5000,20,55000,14,31,38120
5000,20,55000,14,32,38109
5000,20,55000,14,33,38167
5000,20,55000,14,34,38117
5000,20,55000,14,35,40106
5000,20,55000,14,36,40113
5000,20,55000,14,37,38105
5000,20,55000,14,38,40124
5000,20,55000,14,39,42096
5000,20,55000,14,40,42113
10000,14,30000,16,1,32105
10000,14,30000,16,2,26101
10000,14,30000,16,3,22102
10000,14,30000,16,4,22100
10000,14,30000,16,5,24104
10000,14,30000,16,6,24097
10000,14,30000,16,7,24100
10000,14,30000,16,8,24098
10000,14,30000,16,9,26115
10000,14,30000,16,10,26104
10000,14,30000,16,11,28163
10000,14,30000,16,12,26107
10000,14,30000,16,13,28107
10000,14,30000,16,14,28108
10000,14,30000,16,15,28107
10000,14,30000,16,16,30176
10000,14,30000,16,17,30114
10000,14,30000,16,18,30118
10000,14,30000,16,19,32114
10000,14,30000,16,20,34109
10000,14,30000,16,21,32110
10000,14,30000,16,22,34104
10000,14,30000,16,23,34114
10000,14,30000,16,24,34110
10000,14,30000,16,25,34109
10000,14,30000,16,26,34103
10000,14,30000,16,27,36110
10000,14,30000,16,28,36122
10000,14,30000,16,29,36109
10000,14,30000,16,30,38115
10000,14,30000,16,31,38106
10000,14,30000,16,32,38117
10000,14,30000,16,33,38119
10000,14,30000,16,34,40108
10000,14,30000,16,35,40109
10000,14,30000,16,36,40115
10000,14,30000,16,37,42110
10000,14,30000,16,38,42109
10000,14,30000,16,39,40110
10000,14,30000,16,40,42107
10000,14,40000,22,1,30106
10000,14,40000,22,2,26111
10000,14,40000,22,3,24110
10000,14,40000,22,4,24120
10000,14,40000,22,5,24109
10000,14,40000,22,6,24106
10000,14,40000,22,7,24114
10000,14,40000,22,8,24099
10000,14,40000,22,9,26091
10000,14,40000,22,10,26101
10000,14,40000,22,11,28100
10000,14,40000,22,12,28103
10000,14,40000,22,13,28105
10000,14,40000,22,14,30107
10000,14,40000,22,15,30114
10000,14,40000,22,16,30110
10000,14,40000,22,17,28109
10000,14,40000,22,18,30109
10000,14,40000,22,19,32102
10000,14,40000,22,20,32093
10000,14,40000,22,21,32105
10000,14,40000,22,22,34102
10000,14,40000,22,23,34101
10000,14,40000,22,24,32109
10000,14,40000,22,25,34099
10000,14,40000,22,26,36111
10000,14,40000,22,27,36109
10000,14,40000,22,28,34107
10000,14,40000,22,29,36111
10000,14,40000,22,30,38113
10000,14,40000,22,31,38128
10000,14,40000,22,32,38112
10000,14,40000,22,33,40112
10000,14,40000,22,34,40108
10000,14,40000,22,35,40114
10000,14,40000,22,36,40101
10000,14,40000,22,37,40103
10000,14,40000,22,38,40097
10000,14,40000,22,39,42107
10000,14,40000,22,40,42110
10000,14,65000,16,1,46111
10000,14,65000,16,2,34106
10000,14,65000,16,3,28109
10000,14,65000,16,4,26108
10000,14,65000,16,5,28108
10000,14,65000,16,6,26110
10000,14,65000,16,7,28102
10000,14,65000,16,8,28107
10000,14,65000,16,9,28114
10000,14,65000,16,10,28103
10000,14,65000,16,11,28162
